LU,1,2019-11-24 13:30:00,2019-11-24 13:40:00
LU,1,2019-11-24 13:50:00,2019-11-24 14:00:00
BE,1,2019-11-24 13:55:00,2019-11-24 14:05:00
AT,0,2019-11-24 13:35:00,2019-11-24 13:45:00
FR,0,2019-11-24 13:30:00,2019-11-24 13:40:00
AT,0,2019-11-24 13:45:00,2019-11-24 13:55:00
LU,1,2019-11-24 13:40:00,2019-11-24 13:50:00
NL,0,2019-11-24 13:45:00,2019-11-24 13:55:00
CH,1,2019-11-24 13:35:00,2019-11-24 13:45:00
LU,1,2019-11-24 13:35:00,2019-11-24 13:45:00
BE,1,2019-11-24 13:40:00,2019-11-24 13:50:00
DE,0,2019-11-24 13:45:00,2019-11-24 13:55:00
AT,0,2019-11-24 13:30:00,2019-11-24 13:40:00
BE,1,2019-11-24 13:45:00,2019-11-24 13:55:00
DE,0,2019-11-24 13:35:00,2019-11-24 13:45:00
FR,0,2019-11-24 13:40:00,2019-11-24 13:50:00
NL,0,2019-11-24 13:50:00,2019-11-24 14:00:00
AT,0,2019-11-24 13:40:00,2019-11-24 13:50:00
FR,0,2019-11-24 13:55:00,2019-11-24 14:05:00
NL,0,2019-11-24 13:35:00,2019-11-24 13:45:00
DE,0,2019-11-24 13:55:00,2019-11-24 14:05:00
LU,1,2019-11-24 13:55:00,2019-11-24 14:05:00
BE,1,2019-11-24 13:35:00,2019-11-24 13:45:00
FR,0,2019-11-24 13:50:00,2019-11-24 14:00:00
DE,0,2019-11-24 13:40:00,2019-11-24 13:50:00
NL,0,2019-11-24 13:55:00,2019-11-24 14:05:00
NL,1,2019-11-24 13:30:00,2019-11-24 13:40:00
CH,1,2019-11-24 13:45:00,2019-11-24 13:55:00
CH,1,2019-11-24 13:40:00,2019-11-24 13:50:00
DE,0,2019-11-24 13:30:00,2019-11-24 13:40:00
AT,0,2019-11-24 13:55:00,2019-11-24 14:05:00
AT,0,2019-11-24 13:50:00,2019-11-24 14:00:00
CH,1,2019-11-24 13:30:00,2019-11-24 13:40:00
DE,0,2019-11-24 13:25:00,2019-11-24 13:35:00
LU,1,2019-11-24 13:45:00,2019-11-24 13:55:00
FR,0,2019-11-24 13:35:00,2019-11-24 13:45:00
CH,1,2019-11-24 13:50:00,2019-11-24 14:00:00
CH,1,2019-11-24 13:55:00,2019-11-24 14:05:00
DE,0,2019-11-24 13:50:00,2019-11-24 14:00:00
NL,0,2019-11-24 13:40:00,2019-11-24 13:50:00
FR,0,2019-11-24 13:45:00,2019-11-24 13:55:00
BE,1,2019-11-24 13:50:00,2019-11-24 14:00:00
